animal_id,source
26,d19079s14i8
6,d19079s10i5
7,d19079s2i2
8,d19015s17i4
9,d19069s3i3
3,d18509s37i6
3,d18505s41i2
6,d18505s15i10
3,d18501s8i50
9,d18463s62i3
9,d18463s40i1
3,d19362s8i3
12,d19362s5i30
17,d19353s18i1
1,d19360s3i1
11,d19354s3i3
7,d19031s149i45
21,d19031s136i10
6,d19031s81i7
28,d19031s35i2
28,d19031s7i1
26,d19079s14i1
6,d19079s12i21
1,d19491s1i1
21,d19457s12i3
3,d19393s11i3
3,d18109s7i2
3,d18109s6i20
3,d18109s6i32
3,d18107s6i16
3,d18107s5i9
3,d18107s4i1
3,d18107s4i2
3,d18107s4i5
7,d18107s2i3
29,d19460s6i3
30,d19460s38i5
30,d19460s37i4
2,d19460s14i4
31,d19458s7i3
31,d19458s7i2
31,d19458s7i1
2,d19458s4i1
2,d19458s3i1
2,d19458s2i5
2,d19458s2i1
31,d19456s3i1
14,d19456s10i2
2,d19449s4i3
2,d19449s4i1
18,d19371s68i5
32,d19371s35i3
25,d18240s6i7
4,d15710s3i13
3,d19349s3i8
33,d18729s2i1
6,d18719s6i1
34,d18285s99i4
34,d18285s99i5
34,d18285s99i6
34,d18285s99i7
34,d18285s99i8
34,d18285s99i9
34,d18285s99i10
34,d18285s99i11
34,d18285s98i1
34,d18285s98i2
34,d18285s98i3
34,d18285s98i4
34,d18285s98i6
34,d18285s98i7
34,d18285s98i8
34,d18285s98i9
34,d18285s98i10
34,d18285s98i11
34,d18285s98i12
35,d18285s97i1
35,d18285s97i2
35,d18285s97i3
35,d18285s97i4
35,d18285s97i5
35,d18285s97i11
35,d18285s97i12
35,d18285s97i13
35,d18285s97i14
35,d18285s97i15
35,d18285s97i16
35,d18285s97i17
35,d18285s97i18
35,d18285s97i19
35,d18285s97i20
35,d18285s97i21
35,d18285s97i22
35,d18285s97i23
35,d18285s97i24
35,d18285s97i25
35,d18285s97i26
34,d18285s95i1
34,d18285s95i2
34,d18285s95i3
34,d18285s95i4
34,d18285s93i1
34,d18285s93i2
34,d18285s93i3
34,d18285s93i4
34,d18285s93i5
34,d18285s9i2
34,d18285s9i3
34,d18285s9i4
34,d18285s9i5
34,d18285s9i6
34,d18285s9i7
34,d18285s9i8
34,d18285s9i9
34,d18285s9i10
34,d18285s9i11
34,d18285s9i12
34,d18285s9i1
35,d18285s89i1
35,d18285s89i2
35,d18285s89i3
35,d18285s89i4
35,d18285s89i5
35,d18285s89i6
34,d18285s88i3
34,d18285s88i4
34,d18285s88i5
36,d18285s87i22
36,d18285s87i24
36,d18285s87i29
34,d18285s86i1
34,d18285s86i2
34,d18285s86i3
34,d18285s86i4
34,d18285s86i5
34,d18285s86i6
34,d18285s86i7
35,d18285s83i1
35,d18285s83i2
35,d18285s83i3
35,d18285s83i4
35,d18285s83i5
34,d18285s71i1
34,d18285s71i2
34,d18285s71i3
34,d18285s71i4
34,d18285s71i5
34,d18285s44i3
34,d18285s44i5
34,d18285s44i6
34,d18285s44i7
34,d18285s44i8
34,d18285s44i9
34,d18285s44i10
34,d18285s43i1
34,d18285s43i2
34,d18285s43i3
34,d18285s43i4
34,d18285s43i5
34,d18285s21i7
34,d18285s21i8
34,d18285s21i9
34,d18285s21i10
34,d18285s21i11
34,d18285s21i12
34,d18285s20i2
34,d18285s20i4
34,d18285s20i5
34,d18285s12i2
34,d18285s12i3
34,d18285s114i3
34,d18285s114i4
34,d18285s114i5
34,d18285s114i6
34,d18285s114i7
34,d18285s113i1
34,d18285s113i2
34,d18285s11i2
34,d18285s11i3
35,d18285s100i2
35,d18285s100i3
35,d18285s100i4
35,d18285s100i5
35,d18285s100i6
35,d18285s100i1
35,d18285s10i3
35,d18285s10i4
35,d18285s10i5
35,d18285s10i6
35,d18285s10i7
3,d17977s21i8
3,d17977s16i9
3,d17977s16i17
3,d17975s14i22
3,d17720s6i2
3,4293s1i10
37,4292s4i1
38,d17492s13i7
38,d17492s13i6
5,d19013s19i3
1,d19013s12i1
9,d19002s13i1
5,d19000s67i6
38,d18930s26i5
7,d19158s9i2
1,d18493s231i1
28,d18493s72i2
1,d18474s2i1
3,d19024s16i35
7,d19158s5i15
39,d19297s177i1
40,d19297s75i2
41,d17559s22i2
41,d17559s22i1
42,d19112s4i6
12,d16905s7i6
12,d16905s7i6
12,d16905s7i8
12,d16905s7i8
3,d17267s45i15
3,d17267s45i15
3,d17267s64i3
3,d17267s64i2
3,d17267s64i2
31,d19292s3i4
31,d19292s3i4
21,d19286s37i3
21,d19286s37i3
3,d17952s23i5
7,d17952s10i5
28,d17952s9i22
3,d18171s19i8
3,d18171s13i44
3,d18171s13i8
5,d18171s7i3
9,d18219s58i4
9,d18219s58i3
3,d18219s34i4
7,d18219s11i3
25,d18225s6i12
38,d19064s7i2
14,d19286s8i1
14,d19286s8i1
43,d19297s37i5
44,d19297s320i1
45,d19297s318i6
45,d19297s318i7
45,d19297s318i12
45,d19297s318i15
45,d19297s30i12
44,d19297s293i1
40,d19297s260i5
43,d19297s18i1
43,d19297s18i4
46,d19297s137i1
30,d19295s5i3
30,d19295s5i3
30,d19295s2i1
31,d19292s3i6
2,d19292s2i4
2,d19285s7i3
30,d19285s5i3
2,d19285s3i1
14,d19285s2i4
2,d19283s3i2
35,d18291s98i1
35,d18291s98i2
35,d18291s98i3
35,d18291s98i4
35,d18291s98i5
34,d18291s97i21
34,d18291s97i22
34,d18291s97i23
34,d18291s97i24
34,d18291s97i25
34,d18291s97i26
34,d18291s97i27
34,d18291s97i28
34,d18291s97i29
34,d18291s97i30
34,d18291s97i31
34,d18291s97i32
34,d18291s97i33
34,d18291s97i34
34,d18291s97i3
34,d18291s97i4
34,d18291s97i5
34,d18291s97i6
34,d18291s97i7
34,d18291s97i8
34,d18291s97i9
34,d18291s97i10
34,d18291s97i11
34,d18291s97i13
34,d18291s97i14
34,d18291s97i15
34,d18291s97i16
34,d18291s97i17
34,d18291s97i18
34,d18291s97i19
34,d18291s97i20
35,d18291s96i6
35,d18291s96i7
35,d18291s96i8
35,d18291s96i9
35,d18291s96i10
35,d18291s96i11
35,d18291s96i12
35,d18291s95i3
35,d18291s95i4
35,d18291s95i5
35,d18291s95i6
35,d18291s95i7
35,d18291s95i8
35,d18291s95i9
35,d18291s95i10
35,d18291s95i1
35,d18291s95i2
34,d18291s94i2
34,d18291s94i3
34,d18291s94i4
34,d18291s93i5
34,d18291s93i6
34,d18291s93i7
34,d18291s93i8
34,d18291s93i9
34,d18291s93i10
34,d18291s93i11
34,d18291s93i12
35,d18291s91i7
35,d18291s91i8
35,d18291s91i9
35,d18291s91i10
35,d18291s91i1
35,d18291s91i2
35,d18291s91i3
35,d18291s91i4
35,d18291s91i5
35,d18291s91i6
34,d18291s90i1
34,d18291s90i2
34,d18291s90i3
34,d18291s90i4
34,d18291s90i5
34,d18291s90i6
34,d18291s90i7
34,d18291s90i8
35,d18291s9i1
35,d18291s9i2
35,d18291s9i3
35,d18291s9i4
35,d18291s9i5
35,d18291s9i6
35,d18291s9i7
35,d18291s9i8
35,d18291s9i9
35,d18291s9i10
35,d18291s9i11
34,d18291s89i5
34,d18291s89i6
34,d18291s89i7
35,d18291s87i1
35,d18291s87i2
35,d18291s86i2
35,d18291s86i3
35,d18291s86i4
35,d18291s86i5
35,d18291s86i6
35,d18291s86i7
35,d18291s86i8
35,d18291s86i9
34,d18291s8i11
34,d18291s8i12
34,d18291s8i13
34,d18291s8i14
34,d18291s8i15
34,d18291s8i16
34,d18291s8i17
34,d18291s8i18
34,d18291s8i19
34,d18291s8i20
34,d18291s8i21
34,d18291s8i22
34,d18291s8i23
34,d18291s8i24
34,d18291s8i25
34,d18291s8i26
34,d18291s8i27
34,d18291s8i28
34,d18291s8i29
34,d18291s8i30
34,d18291s8i31
34,d18291s8i32
34,d18291s8i2
34,d18291s8i3
34,d18291s8i4
34,d18291s8i5
34,d18291s8i6
34,d18291s8i7
34,d18291s8i8
34,d18291s8i9
34,d18291s8i10
34,d18291s8i1
34,d18291s75i2
34,d18291s75i3
34,d18291s75i4
34,d18291s75i5
34,d18291s74i5
34,d18291s74i6
34,d18291s74i7
34,d18291s74i8
35,d18291s59i1
35,d18291s59i2
35,d18291s59i3
35,d18291s59i4
35,d18291s59i5
35,d18291s59i6
35,d18291s59i7
47,d18291s58i1
47,d18291s58i2
47,d18291s58i3
47,d18291s58i4
47,d18291s58i5
35,d18291s57i2
35,d18291s57i3
35,d18291s57i4
35,d18291s57i5
34,d18291s51i2
34,d18291s51i2
34,d18291s51i3
34,d18291s51i3
34,d18291s51i4
34,d18291s51i4
34,d18291s51i5
34,d18291s51i5
34,d18291s20i70
34,d18291s20i71
34,d18291s20i72
34,d18291s20i73
34,d18291s20i74
34,d18291s20i75
34,d18291s20i76
34,d18291s20i77
34,d18291s20i78
34,d18291s20i79
34,d18291s20i80
34,d18291s20i81
34,d18291s20i82
34,d18291s20i83
34,d18291s20i84
34,d18291s20i85
34,d18291s20i86
34,d18291s20i87
34,d18291s20i62
34,d18291s20i63
34,d18291s20i64
34,d18291s20i65
34,d18291s20i66
34,d18291s20i67
34,d18291s20i68
34,d18291s20i69
34,d18291s20i25
34,d18291s20i26
34,d18291s20i27
34,d18291s20i28
34,d18291s20i29
34,d18291s20i30
34,d18291s20i31
34,d18291s20i32
34,d18291s20i33
34,d18291s20i34
34,d18291s20i35
34,d18291s20i36
34,d18291s20i37
34,d18291s20i38
34,d18291s20i39
34,d18291s20i40
34,d18291s20i41
34,d18291s20i42
34,d18291s20i43
34,d18291s20i44
34,d18291s20i45
34,d18291s20i46
34,d18291s20i51
34,d18291s20i52
34,d18291s20i53
34,d18291s20i54
34,d18291s20i55
34,d18291s20i56
34,d18291s20i57
34,d18291s20i58
34,d18291s20i59
34,d18291s20i60
34,d18291s20i61
34,d18291s20i6
34,d18291s20i7
34,d18291s20i8
34,d18291s20i9
34,d18291s20i10
34,d18291s20i11
34,d18291s20i12
34,d18291s20i13
34,d18291s20i14
34,d18291s20i15
34,d18291s20i16
34,d18291s20i17
34,d18291s20i18
34,d18291s20i19
34,d18291s20i20
34,d18291s20i21
34,d18291s20i22
34,d18291s20i23
34,d18291s20i24
35,d18291s18i7
35,d18291s18i8
35,d18291s18i9
35,d18291s18i10
35,d18291s18i11
35,d18291s18i12
35,d18291s18i13
35,d18291s18i14
35,d18291s18i15
35,d18291s18i1
35,d18291s18i2
35,d18291s18i6
35,d18291s123i11
35,d18291s123i12
35,d18291s123i13
35,d18291s123i14
35,d18291s123i4
35,d18291s123i5
35,d18291s123i6
35,d18291s123i7
35,d18291s123i8
35,d18291s123i9
35,d18291s123i1
35,d18291s123i2
35,d18291s123i3
34,d18291s119i2
34,d18291s119i3
34,d18291s119i4
34,d18291s119i5
34,d18291s118i4
34,d18291s118i5
34,d18291s118i6
34,d18291s117i25
34,d18291s117i26
34,d18291s117i2
34,d18291s117i3
34,d18291s117i4
34,d18291s117i5
34,d18291s117i6
34,d18291s117i7
34,d18291s117i8
34,d18291s117i9
34,d18291s117i10
34,d18291s117i11
34,d18291s117i12
34,d18291s117i13
34,d18291s117i14
34,d18291s117i15
34,d18291s117i16
34,d18291s117i17
34,d18291s117i18
34,d18291s117i19
34,d18291s117i20
34,d18291s117i21
34,d18291s117i22
34,d18291s117i23
34,d18291s117i24
34,d18291s116i7
34,d18291s116i8
34,d18291s116i9
34,d18291s115i33
34,d18291s115i34
34,d18291s115i35
34,d18291s115i36
34,d18291s115i26
34,d18291s115i27
34,d18291s115i29
34,d18291s115i30
34,d18291s115i31
34,d18291s115i32
34,d18291s115i11
34,d18291s115i12
34,d18291s115i13
34,d18291s115i14
34,d18291s115i15
34,d18291s115i16
34,d18291s115i17
34,d18291s115i18
34,d18291s115i19
34,d18291s115i20
34,d18291s115i22
34,d18291s115i25
35,d18291s10i8
35,d18291s10i9
35,d18291s10i10
35,d18291s10i11
35,d18291s10i12
35,d18291s10i13
35,d18291s10i14
35,d18291s10i15
35,d18291s10i16
35,d18291s10i17
35,d18291s10i2
35,d18291s10i3
35,d18291s10i4
35,d18291s10i5
35,d18291s10i6
35,d18291s10i7
35,d18291s10i1
48,d18268s7i1
48,d18268s7i2
48,d18268s7i3
48,d18268s7i4
48,d18268s7i5
48,d18268s7i6
48,d18268s7i7
48,d18268s7i8
48,d18268s7i10
1,d18552s3i1
49,d17413s82i2
50,d17570s9i11
51,d17428s13i4
52,d17428s7i4
21,d17562s39i7
53,d17562s34i1
54,d17427s25i1
51,d17427s19i5
53,d17562s14i1
53,d17562s13i5
20,d17562s3i9
24,d17426s159i4
24,d17426s159i3
24,d17426s159i2
24,d17426s159i1
40,d17426s94i1
24,d17437s53i1
43,d17437s16i5
28,d19061s66i1
7,d19061s15i8
7,d19061s15i10
28,d19061s9i7
35,d16757s60i11
35,d16757s60i29
35,d16757s6i1
55,d16757s50i1
56,d16757s5i2
56,d16757s5i2
57,d16757s16i2
3,d18749s52i7
3,d18749s17i2
6,d18442s77i1
58,d18442s30i7
3,d18442s28i11
59,d17171s11i1
7,d18775s23i2
3,d18225s3i14
60,d18060s12i3
61,d16756s9i2
61,d16756s9i8
61,d16756s9i2
62,d16756s6i3
62,d16756s6i12
61,d16756s3i1
63,d16756s2i16
62,d16755s6i6
39,d16429s47i8
28,d19098s14i3
28,d19098s5i1
3,d18750s44i27
3,d18750s36i1
64,d16429s22i6
21,d19115s8i4
13,d19113s16i3
13,d19113s10i2
21,d19110s13i1
2,d19113s7i4
28,d18667s17i2
28,d18667s9i1
28,d18667s5i2
40,d16425s75i2
44,d16425s320i1
45,d16425s318i13
45,d16425s318i6
45,d16425s316i17
44,d16425s293i1
40,d16425s260i5
65,d19072s41i22
65,d19072s41i28
51,d17428s17i12
51,d17428s17i15
51,d17428s17i21
52,d17428s16i2
52,d17428s16i3
51,d16430s49i1
51,d16430s49i2
51,d16430s49i3
51,d16430s34i7
66,d16430s12i4
33,d18980s20i8
33,d18980s20i9
33,d18980s19i1
32,d18979s35i30
32,d18979s27i28
32,d18979s27i20
32,d18979s12i13
32,d18979s12i2
32,d18979s10i5
32,d18979s9i24
32,d18979s9i10
40,d16425s75i1
45,d16425s318i7
45,d16425s318i10
45,d16425s318i12
1,d18976s22i2
5,d18960s8i1
9,d17715s50i13
9,d17715s50i10
9,d17715s50i7
9,d17715s49i1
9,d17715s49i5
7,d17715s27i25
7,d17715s17i27
67,d17718s21i10
9,d18766s12i5
3,d18985s7i3
6,3912s160i1
9,3912s153i2
1,3912s140i1
68,3909s50i9
7,3911s29i1
1,3911s14i3
10,d19052s25i1
9,d18766s12i3
1,d18769s75i6
1,d18769s75i2
39,d18769s56i1
69,d18769s37i2
5,d18769s36i8
9,d18768s12i1
39,d18926s10i1
6,d18925s20i2
6,d18900s6i1
26,d18897s10i5
26,d18897s10i2
3,d18494s182i9
3,d18494s118i1
32,d18979s27i25
7,d17715s27i23
7,d17715s17i24
38,d18743s27i9
3,d18743s20i2
38,d16169s94i1
12,d16169s48i2
38,d16165s15i8
3,d16162s36i85
70,d16148s95i5
5,d18059s11i2
32,d18059s9i4
4,d18052s16i18
4,d18052s2i2
3,d15870s7i17
71,4345s2i3
3,d18978s17i2
1,d18976s22i15
3,d18974s7i91
33,d18971s26i1
33,d18962s7i8
3,d16145s102i21
3,d16145s36i34
12,d16169s137i2
3,d16169s61i19
12,d16169s48i3
3,d16169s28i21
3,d16165s42i3
3,d16165s35i5
12,d16162s78i7
12,d16162s70i1
12,d16162s49i10
12,d16162s35i4
3,d16162s31i9
70,d16148s109i4
3,d16162s64i30
3,d16162s64i28
3,d16162s64i17
3,d16148s112i44
3,d16148s112i39
3,d16148s112i28
3,d16148s108i2
3,d16148s108i11
3,d16148s101i37
3,d16148s101i36
3,d16148s101i30
3,d16148s101i33
70,d16148s94i2
70,d16148s90i2
3,d16148s87i10
3,d16148s70i2
70,d16148s63i5
3,d16148s61i6
3,d16148s58i24
3,3085s97i2
3,3085s76i7
7,3085s42i4
35,d18276s99i5
35,d18276s99i6
35,d18276s99i7
35,d18276s99i8
35,d18276s99i9
35,d18276s99i10
35,d18276s99i11
35,d18276s99i4
35,d18276s98i1
35,d18276s98i2
35,d18276s98i3
35,d18276s98i4
35,d18276s98i5
35,d18276s98i6
35,d18276s98i7
34,d18276s97i1
34,d18276s97i2
34,d18276s97i3
34,d18276s97i4
34,d18276s97i5
34,d18276s97i6
34,d18276s97i7
34,d18276s97i8
34,d18276s97i9
34,d18276s97i10
35,d18276s94i20
35,d18276s94i21
35,d18276s94i22
35,d18276s94i36
35,d18276s94i37
35,d18276s94i7
35,d18276s94i8
35,d18276s94i9
35,d18276s94i10
35,d18276s94i11
35,d18276s94i12
35,d18276s94i13
35,d18276s94i14
35,d18276s94i15
35,d18276s94i16
35,d18276s94i17
35,d18276s94i18
35,d18276s94i19
35,d18276s93i1
35,d18276s93i2
35,d18276s93i3
35,d18276s93i4
35,d18276s93i5
35,d18276s93i6
35,d18276s93i7
35,d18276s93i8
35,d18276s91i4
35,d18276s91i5
35,d18276s91i6
35,d18276s91i7
35,d18276s91i8
35,d18276s91i9
35,d18276s91i10
35,d18276s91i1
35,d18276s91i2
35,d18276s91i3
35,d18276s90i1
35,d18276s90i2
35,d18276s90i3
35,d18276s90i4
35,d18276s90i5
35,d18276s78i1
35,d18276s78i2
35,d18276s78i3
35,d18276s78i4
35,d18276s78i5
35,d18276s78i6
35,d18276s78i7
35,d18276s78i8
35,d18276s78i9
35,d18276s78i10
34,d18276s75i2
34,d18276s75i3
34,d18276s75i4
34,d18276s75i5
34,d18276s75i6
35,d18276s74i5
35,d18276s74i6
35,d18276s74i7
35,d18276s74i8
35,d18276s74i9
35,d18276s74i10
35,d18276s74i11
35,d18276s74i12
35,d18276s74i13
35,d18276s74i14
35,d18276s74i1
35,d18276s74i2
35,d18276s74i3
35,d18276s74i4
34,d18276s34i6
34,d18276s34i7
34,d18276s34i1
34,d18276s34i2
34,d18276s34i3
34,d18276s34i4
34,d18276s34i5
35,d18276s3i1
35,d18276s3i2
35,d18276s3i3
35,d18276s3i4
35,d18276s3i5
35,d18276s3i6
72,d18265s45i42
72,d18265s45i43
72,d18265s45i44
72,d18265s45i45
72,d18265s45i46
72,d18265s45i48
72,d18265s45i67
72,d18265s45i70
72,d18265s45i71
72,d18265s45i72
72,d18265s45i118
72,d18265s45i119
72,d18265s45i120
72,d18265s45i122
72,d18265s45i193
72,d18265s45i194
72,d18265s45i195
72,d18265s45i208
72,d18265s45i209
72,d18265s45i210
72,d18265s45i278
72,d18265s45i279
72,d18265s45i280
72,d18265s45i281
72,d18265s45i16
1,d18164s26i5
3,d18769s70i50
38,3986s189i29
38,3986s189i30
38,3986s189i27
38,3986s189i28
38,3986s189i24
38,3986s189i25
38,3986s189i26
38,3986s189i23
38,3986s189i22
38,3986s189i21
38,3986s189i20
38,3986s189i19
38,3986s189i18
38,3986s189i17
38,3986s189i15
38,3986s189i14
38,3986s189i13
38,3986s189i11
38,3986s189i9
38,3986s189i10
38,3986s189i8
38,3986s189i6
38,3986s189i7
38,3986s189i5
38,3986s189i3
38,3986s189i4
38,3986s189i2
38,3986s189i1
38,3986s149i30
38,3986s149i29
38,3986s149i28
38,3986s149i27
38,3986s149i26
38,3986s149i25
38,3986s149i23
38,3986s149i24
38,3986s149i22
38,3986s149i21
38,3986s149i20
38,3986s149i19
38,3986s149i17
38,3986s149i18
38,3986s149i16
38,3986s149i15
38,3986s149i14
38,3986s149i13
38,3986s149i11
38,3986s149i12
38,3986s149i10
38,3986s149i9
38,3986s149i8
38,3986s149i6
38,3986s149i7
38,3986s149i5
38,3986s149i4
38,3986s149i2
38,3986s149i3
38,3986s149i1
3,d18769s24i66
3,3986s39i77
3,3986s39i76
3,3986s39i66
3,3986s39i59
35,d18276s84i2
35,d18276s84i3
35,d18276s84i4
35,d18276s84i5
35,d18276s84i6
35,d18276s84i7
35,d18276s84i1
35,d18276s54i1
35,d18276s54i2
35,d18276s54i3
35,d18276s54i4
35,d18276s54i5
35,d18276s54i6
35,d18276s54i7
35,d18276s54i8
35,d18276s54i9
35,d18276s54i10
35,d18276s45i11
35,d18276s45i6
35,d18276s45i7
35,d18276s45i8
35,d18276s45i9
35,d18276s45i10
35,d18276s45i1
35,d18276s45i2
35,d18276s45i3
35,d18276s45i4
35,d18276s45i5
35,d18276s21i30
35,d18276s21i31
35,d18276s21i32
35,d18276s21i36
35,d18276s21i39
35,d18276s21i15
35,d18276s21i16
35,d18276s21i17
35,d18276s21i18
35,d18276s21i19
35,d18276s21i20
35,d18276s21i21
35,d18276s21i22
35,d18276s21i23
35,d18276s21i24
35,d18276s21i25
35,d18276s21i26
35,d18276s21i27
35,d18276s21i28
35,d18276s21i29
35,d18276s21i2
35,d18276s21i3
35,d18276s21i4
35,d18276s21i5
35,d18276s21i6
35,d18276s21i7
35,d18276s21i8
35,d18276s21i9
35,d18276s21i10
35,d18276s21i11
35,d18276s21i12
35,d18276s21i13
35,d18276s21i14
35,d18276s21i1
35,d18276s102i1
35,d18276s102i2
35,d18276s102i3
35,d18276s102i4
35,d18276s102i5
35,d18276s102i6
35,d18276s102i7
35,d18276s102i8
35,d18276s102i10
35,d18276s102i14
35,d18276s101i10
35,d18276s101i11
35,d18276s101i12
35,d18276s101i13
35,d18276s101i14
35,d18276s101i1
35,d18276s101i2
35,d18276s101i3
35,d18276s101i4
35,d18276s101i5
35,d18276s101i6
35,d18276s101i7
35,d18276s101i8
35,d18276s101i9
72,d18276s100i10
72,d18276s100i1
72,d18276s100i2
72,d18276s100i3
72,d18276s100i4
72,d18276s100i5
72,d18276s100i8
72,d18276s100i9
3,d16558s5i17
3,d16558s1i5
1,d18908s6i3
1,d18493s171i3
28,d18493s35i6
3,3910s42i1
3,3910s20i14
3,3910s20i13
3,3910s20i8
3,d18954s3i5
3,d18954s2i9
3,d17985s9i33
3,d18213s15i6
3,d16169s10i57
3,d16169s10i47
3,d16169s10i5
3,d16169s10i3
12,d16165s17i1
12,d16165s13i22
12,d16165s13i21
38,d16165s4i2
3,d16164s44i1
38,d16164s10i2
38,d16160s9i2
3,d16154s19i25
3,d16148s10i12
3,d16148s10i6
3,d16148s10i1
70,d16148s68i1
38,d16148s64i9
38,d16148s19i2
25,d18213s2i9
3,d17985s9i22
7,d17278s4i4
38,d17279s10i1
69,d18166s32i1
4,d17678s36i2
73,d17678s22i7
9,d18877s13i1
8,d18877s5i3
6,d18877s2i3
6,d18877s2i4
69,d17551s38i14
4,d17311s15i10
38,d17677s24i9
3,d17678s15i84
3,d18435s7i12
3,d18743s6i60
3,d17676s5i44
3,d17676s4i11
3,d17676s4i4
3,d18742s49i2
3,d18021s36i2
3,d18780s6i2
32,d18767s9i9
9,d18767s7i2
3,d18767s11i11
3,d18767s11i25
3,d18156s9i34
3,d18156s9i54
3,d18156s9i70
3,d18156s5i8
3,d18156s14i43
3,d18156s14i100
3,d18156s12i55
3,d18156s11i17
74,d16737s9i8
74,d16737s9i8
75,d16737s7i6
55,d16737s4i1
25,d16737s26i6
62,d16737s22i6
62,d16737s22i6
76,d16737s19i6
62,d16737s16i3
62,d16737s16i8
3,d18140s12i1
63,d16754s7i3
63,d16754s4i3
77,d16754s30i3
78,d16754s23i7
57,d16754s17i2
57,d16754s17i3
63,d16754s15i3
63,d16754s15i12
79,d16754s10i9
